"VideoID	DownloadableLink"
"0001-YOUTUBE	https://www.youtube.com/watch?v=VzrqT-Uvsro"
"0002-YOUTUBE	https://www.youtube.com/watch?v=KvhkTwwB2Zk"
"0003-YOUTUBE	https://www.youtube.com/watch?v=t4JNH9eTjUI"
"0004-YOUTUBE	https://www.youtube.com/watch?v=e_3REvlMd84"
"0007-YOUTUBE	https://www.youtube.com/watch?v=NqgrZHNB8zw"
"0008-YOUTUBE	https://www.youtube.com/watch?v=61n7ZR4ull0"
"0009-YOUTUBE	https://www.youtube.com/watch?v=OHT17BSHpNc"
"0010-YOUTUBE	https://www.youtube.com/watch?v=i6M98CfCkZ4"
"0011-YOUTUBE	https://www.youtube.com/watch?v=In9gPvBz0Hk"
"0020-YOUTUBE	https://www.youtube.com/watch?v=8DFlljLCM4o"
"0025-YOUTUBE	https://www.youtube.com/watch?v=zM7TAM-rLAY"
"0030-YOUTUBE	https://www.youtube.com/watch?v=C1c-WvVtE6I"
"0031-YOUTUBE	https://www.youtube.com/watch?v=3-WfsBsASIA"
"0032-YOUTUBE	https://www.youtube.com/watch?v=C_iPbaPf44M"
"0035-YOUTUBE	https://www.youtube.com/watch?v=uWY3GPGbAmo"
"0036-YOUTUBE	https://www.youtube.com/watch?v=aKUKvQsUeRc"
"0051-YOUTUBE	https://www.youtube.com/watch?v=C7Klzgnm7AQ"
"0060-YOUTUBE	https://www.youtube.com/watch?v=lcTV3wWxwuw"
"0061-YOUTUBE	https://www.youtube.com/watch?v=ddE8-e10d-g"
"0062-YOUTUBE	https://www.youtube.com/watch?v=L4SDkxuNr0o"
"0063-YOUTUBE	https://www.youtube.com/watch?v=RJf-eb8vCuI"
"0068-YOUTUBE	https://www.youtube.com/watch?v=XjaQeJ4wu6s"
"0069-YOUTUBE	https://www.youtube.com/watch?v=LWGnSsF6MmY"
"0073-YOUTUBE	https://www.youtube.com/watch?v=ufxyJmrX6z0"
"0077-YOUTUBE	https://www.youtube.com/watch?v=ltDReXejve2"
"0082-YOUTUBE	https://www.youtube.com/watch?v=Kk-8Ph35GO0"
"0083-YOUTUBE	https://www.youtube.com/watch?v=Kk-8Ph35GO1"
"0087-YOUTUBE	https://www.youtube.com/watch?v=JfBSM-rnAzw"
"0094-YOUTUBE	https://www.youtube.com/watch?v=_MU11eJPudU"
"0096-YOUTUBE	https://www.youtube.com/watch?v=i-zPhKSUkIs"
"0100-YOUTUBE	https://www.youtube.com/watch?v=qEtgLwYwXpk"
"0103-YOUTUBE	https://www.youtube.com/watch?v=2zMCpiP8isQ"
"0106-YOUTUBE	https://www.youtube.com/watch?v=NCAiuv50VoE"
"0107-YOUTUBE	https://www.youtube.com/watch?v=tIBt4MYBl1s"
"0111-YOUTUBE	https://www.youtube.com/watch?v=BmTg77DiETM"
"0114-YOUTUBE	https://www.youtube.com/watch?v=wz3V80uKl_E"
"0116-YOUTUBE	https://www.youtube.com/watch?v=XSNBBd4fUf4"
"0119-YOUTUBE	https://www.youtube.com/watch?v=AxkpocklIbk"
"0120-YOUTUBE	https://www.youtube.com/watch?v=YbMZuVBv-1k"
"0122-YOUTUBE	https://www.youtube.com/watch?v=PTy8_T3EvVQ"
"0126-YOUTUBE	https://www.youtube.com/watch?v=ufjAUrzdUCI"
"0127-YOUTUBE	https://www.youtube.com/watch?v=bg0XZBQ5UWI"
"0128-YOUTUBE	https://www.youtube.com/watch?v=jxKZSZaJ3MA"
"0129-YOUTUBE	https://www.youtube.com/watch?v=45s1Zou7QrI"
"0130-YOUTUBE	https://www.youtube.com/watch?v=GPmgR23E4d8"
"0131-YOUTUBE	https://www.youtube.com/watch?v=gjCiJsV7AfA"
"0133-YOUTUBE	https://www.youtube.com/watch?v=lPEpd9XdBV4"
"0135-YOUTUBE	https://www.youtube.com/watch?v=Z2Rk3Nsj8fE"
"0136-YOUTUBE	https://www.youtube.com/watch?v=8Ntq3hvxFnI"
"0138-YOUTUBE	https://www.youtube.com/watch?v=Sru3GgFLof0"
"0139-YOUTUBE	https://www.youtube.com/watch?v=QVxxUKry8kk"
"0140-YOUTUBE	https://www.youtube.com/watch?v=PXugDgrAL_0"
"0141-YOUTUBE	https://www.youtube.com/watch?v=aW_kYAVz_Zk"
"0143-YOUTUBE	https://www.youtube.com/watch?v=YHQB4JRGX20"
"0145-YOUTUBE	https://www.youtube.com/watch?v=XKKCNP42zVQ"
"0146-YOUTUBE	https://www.youtube.com/watch?v=h-V1clLAI-E"
"0147-YOUTUBE	https://www.youtube.com/watch?v=N0qg9Ji5i0Y"
"0148-YOUTUBE	https://www.youtube.com/watch?v=2igSaYH_XsY"
"0149-YOUTUBE	https://www.youtube.com/watch?v=3N2Plypn_Bg"
"0150-YOUTUBE	https://www.youtube.com/watch?v=-p_dDh0IA_0"
"0151-YOUTUBE	https://www.youtube.com/watch?v=Xfa1b17Q5dw"
"0154-YOUTUBE	https://www.youtube.com/watch?v=oKOx1vTPsyI"
"0156-YOUTUBE	https://www.youtube.com/watch?v=2iXw_x2Q_ZU"
"0157-YOUTUBE	https://www.youtube.com/watch?v=kkCzn0xIpmQ"
"0158-YOUTUBE	https://www.youtube.com/watch?v=XEbh05vM5C8"
"0161-YOUTUBE	https://www.youtube.com/watch?v=fDXZjxJP2-A"
"0162-YOUTUBE	https://www.youtube.com/watch?v=kvFzrMNxHeQ"
"0164-YOUTUBE	https://www.youtube.com/watch?v=4KmsWV01skY"
"0165-YOUTUBE	https://www.youtube.com/watch?v=4hxiBlOGL6Q"
"0166-YOUTUBE	https://www.youtube.com/watch?v=RPBsNGqJYnU"
"0167-YOUTUBE	https://www.youtube.com/watch?v=ZRjt-fraF7I"
"0169-YOUTUBE	https://www.youtube.com/watch?v=eDhByGWlE_A"
"0170-YOUTUBE	https://www.youtube.com/watch?v=JsOVq1pL8Aw"
"0172-YOUTUBE	https://www.youtube.com/watch?v=J3U4Ch7xe7w"
"0174-YOUTUBE	https://www.youtube.com/watch?v=j3b4uDYRtrE"
"0177-YOUTUBE	https://www.youtube.com/watch?v=tKjwnep-t0E"
"0179-YOUTUBE	https://www.youtube.com/watch?v=rZQza36rFHw"
"0180-YOUTUBE	https://www.youtube.com/watch?v=XB_4atBVqO8"
"0183-YOUTUBE	https://www.youtube.com/watch?v=zAvhGUrmwc4"
"0184-YOUTUBE	https://www.youtube.com/watch?v=Mx9gA3vhAHI"
"0185-YOUTUBE	https://www.youtube.com/watch?v=_5Yaa0fXVMI"
"0186-YOUTUBE	https://www.youtube.com/watch?v=jO48v_h__yA"
"0190-YOUTUBE	https://www.youtube.com/watch?v=4LA3I7efF1M"
"0195-YOUTUBE	https://www.youtube.com/watch?v=Iqn53-24U-Y"
"0197-YOUTUBE	https://www.youtube.com/watch?v=EuO88jo2qMU"
"0198-YOUTUBE	https://www.youtube.com/watch?v=tDzj972Ypio"
"0199-YOUTUBE	https://www.youtube.com/watch?v=yWgLkOWoJpE"
"0202-YOUTUBE	https://www.youtube.com/watch?v=EDcDngaAVxc"
"0203-YOUTUBE	https://www.youtube.com/watch?v=6ktPFR4wD-s"
"0205-YOUTUBE	https://www.youtube.com/watch?v=A53bmMrBLDA"
"0206-YOUTUBE	https://www.youtube.com/watch?v=0axbpDOdeJo"
"0209-YOUTUBE	https://www.youtube.com/watch?v=rhzxLymECWU"
"0210-YOUTUBE	https://www.youtube.com/watch?v=mDRQYGocC34"
"0214-YOUTUBE	https://www.youtube.com/watch?v=GVjJ3b9KVl0"
"0216-YOUTUBE	https://www.youtube.com/watch?v=PJB4fPLluII"
"0219-YOUTUBE	https://www.youtube.com/watch?v=8xaEb_ZHb7s"
"0222-YOUTUBE	https://www.youtube.com/watch?v=61VuPyViuAA"
"0226-YOUTUBE	https://www.youtube.com/watch?v=3fTI3lEKsbc"
"0227-YOUTUBE	https://www.youtube.com/watch?v=EA8GlnNQKcw"
"0229-YOUTUBE	https://www.youtube.com/watch?v=FUCQo_wYR4s"
"0230-YOUTUBE	https://www.youtube.com/watch?v=gt70f5jx2YU"
"0232-YOUTUBE	https://www.youtube.com/watch?v=1csnNAU01aM"
"0233-YOUTUBE	https://www.youtube.com/watch?v=DJlBbhwz_FQ"
"0234-YOUTUBE	https://www.youtube.com/watch?v=JrP2Tc5TBng"
"0235-YOUTUBE	https://www.youtube.com/watch?v=FMHZsg1y328"
"0236-YOUTUBE	https://www.youtube.com/watch?v=dqHZypSHyOs"
"0237-YOUTUBE	https://www.youtube.com/watch?v=39alLJKo3_s"
"0240-YOUTUBE	https://www.youtube.com/watch?v=rQ_vj6Z7qNk"
"0243-YOUTUBE	https://www.youtube.com/watch?v=NrJ5ocCWQqc"
"0244-YOUTUBE	https://www.youtube.com/watch?v=4-k6GjnCMcs"
"0245-YOUTUBE	https://www.youtube.com/watch?v=MVnucmmI2bo"
"0246-YOUTUBE	https://www.youtube.com/watch?v=oTDaevFtDh0"
"0251-YOUTUBE	https://www.youtube.com/watch?v=a8Qkh6pYU2s"
"0252-YOUTUBE	https://www.youtube.com/watch?v=gPZ9HqKGO2o"
"0255-YOUTUBE	https://www.youtube.com/watch?v=9hyY_lCeN0M"
"0257-YOUTUBE	https://www.youtube.com/watch?v=QB1KtvE4or4"
"0258-YOUTUBE	https://www.youtube.com/watch?v=5rX6sWzUIwU"
"0260-YOUTUBE	https://www.youtube.com/watch?v=zFlaFJwKwas"
"0264-YOUTUBE	https://www.youtube.com/watch?v=BzuNbEQcmGI"
"0265-YOUTUBE	https://www.youtube.com/watch?v=8LfQvx7P3ew"
"0266-YOUTUBE	https://www.youtube.com/watch?v=KP6NFiax2rk"
"0267-YOUTUBE	https://www.youtube.com/watch?v=tN47Y9S6v-0"
"0269-YOUTUBE	https://www.youtube.com/watch?v=Bv8BK6Ldnd4"
"0270-YOUTUBE	https://www.youtube.com/watch?v=-fdaF5ZTYIo"
"0272-YOUTUBE	https://www.youtube.com/watch?v=CF8vm2PzhnM"
"0274-YOUTUBE	https://www.youtube.com/watch?v=2hZb2H_DkFE"
"0275-YOUTUBE	https://www.youtube.com/watch?v=qPmHIgwzO8o"
"0276-YOUTUBE	https://www.youtube.com/watch?v=ZrzhFp0Pis4"
"0279-YOUTUBE	https://www.youtube.com/watch?v=zkHzZKuRUwk"
"0280-YOUTUBE	https://www.youtube.com/watch?v=Yig_0fsIgWE"
"0281-YOUTUBE	https://www.youtube.com/watch?v=7Hmc_gsgaZQ"
"0282-YOUTUBE	https://www.youtube.com/watch?v=P1S1u497fyo"
"0284-YOUTUBE	https://www.youtube.com/watch?v=dzLESZEljV8"
"0285-YOUTUBE	https://www.youtube.com/watch?v=ggAG5yBbC_Q"
"0288-YOUTUBE	https://www.youtube.com/watch?v=KZm7juR_yFU"
"0292-YOUTUBE	https://www.youtube.com/watch?v=M3sEQ9Nq_Tw"
"0293-YOUTUBE	https://www.youtube.com/watch?v=VEiQ3b-h3x8"
"0296-YOUTUBE	https://www.youtube.com/watch?v=cA65G7Bnah0"
