ProductSKU;LinkFROriginal;LinkENOriginal;Brand
MIL0910-20;https://www.youtube.com/embed/VzrqT-Uvsro;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
MIL0912-20;;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
MIL0920-20;https://www.youtube.com/embed/t4JNH9eTjUI;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
MIL0920-22HD;https://www.youtube.com/embed/t4JNH9eTjUI;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
MIL0923-20;;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
MIL0930-22HD;https://www.youtube.com/embed/e_3REvlMd84;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
MIL0932-20;;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
MIL0933-20;;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
MIL0940-20;;https://assets.edgenet.com/483daf5d-f998-4ad1-9836-3d93f0131ed7;MILWAUKEE      
MIL0960-20;;https://www.youtube.com/watch?v=gPPm01HLFXE;MILWAUKEE      
MIL0970-20;;https://www.youtube.com/watch?v=NqgrZHNB8zw;MILWAUKEE      
MIL0980-20;https://www.youtube.com/embed/61n7ZR4ull0;https://www.youtube.com/watch?v=OHT17BSHpNc;MILWAUKEE      
MIL2010R;;https://www.youtube.com/watch?v=i6M98CfCkZ4;MILWAUKEE      
MIL2011R;;https://www.youtube.com/watch?v=In9gPvBz0Hk;MILWAUKEE      
MIL205B-212X;;https://milwaukeetool.widen.net/s/rbtks5jjqw/milwaukeer-m12trade-mark-sign-heated-axistrade-mark-sign-layering-system;MILWAUKEE      
MIL205B-213X;;https://milwaukeetool.widen.net/s/rbtks5jjqw/milwaukeer-m12trade-mark-sign-heated-axistrade-mark-sign-layering-system;MILWAUKEE      
