"VideoID";"Link";"DownloadableLink"
"0001-YOUTUBE";"https://www.youtube.com/embed/VzrqT-Uvsro";"https://www.youtube.com/watch?v=VzrqT-Uvsro"
"0002-YOUTUBE";"https://www.youtube.com/watch?v=KvhkTwwB2Zk";"https://www.youtube.com/watch?v=KvhkTwwB2Zk"
"0003-YOUTUBE";"https://www.youtube.com/embed/t4JNH9eTjUI";"https://www.youtube.com/watch?v=t4JNH9eTjUI"
"0004-YOUTUBE";"https://www.youtube.com/embed/e_3REvlMd84";"https://www.youtube.com/watch?v=e_3REvlMd84"
"0005-EDGENET";"https://assets.edgenet.com/483daf5d-f998-4ad1-9836-3d93f0131ed7";"https://assets.edgenet.com/483daf5d-f998-4ad1-9836-3d93f0131ed7"
"0006-YOUTUBE";"https://www.youtube.com/watch?v=gPPm01HLFXE";"https://www.youtube.com/watch?v=gPPm01HLFXE"
"0007-YOUTUBE";"https://www.youtube.com/watch?v=NqgrZHNB8zw";"https://www.youtube.com/watch?v=NqgrZHNB8zw"
"0008-YOUTUBE";"https://www.youtube.com/embed/61n7ZR4ull0";"https://www.youtube.com/watch?v=61n7ZR4ull0"
"0009-YOUTUBE";"https://www.youtube.com/watch?v=OHT17BSHpNc";"https://www.youtube.com/watch?v=OHT17BSHpNc"
"0010-YOUTUBE";"https://www.youtube.com/watch?v=i6M98CfCkZ4";"https://www.youtube.com/watch?v=i6M98CfCkZ4"
"0011-YOUTUBE";"https://www.youtube.com/watch?v=In9gPvBz0Hk";"https://www.youtube.com/watch?v=In9gPvBz0Hk"
"0012-WIDENNET";"https://milwaukeetool.widen.net/s/rbtks5jjqw/milwaukeer-m12trade-mark-sign-heated-axistrade-mark-sign-layering-system";"https://previews.us-east-1.widencdn.net/seeds/37973549/assets/asset-view/0/a/5/a/0a5a0f85-8709-4da1-81aa-a2fccecec5ca/video_legacy_hd?Expires=1763913600&Signature=InN8diGRcGANr8~Ad5dyAhtD~QcN4jx3UJBFEIYgROCeUXzYo3Asddb8tmXMaloKa-WS7b3F1StRDTJ-dSDi5PQbuA-6gBF7gPhp3qKDjHvJ0cDB7bSH1Qa2PP5EN1ygX0lpvVyfJFdHXSrX9wdiHTOfAU0jqg8krWdLEDTqv23mwFsHTlCQmzKpQqCg~MRe4FZx7~rKsN~PhqMBjfxPaCKdzuuQ4W9EVn-ikrWiMcFETGI9wawVW3aDdiIUiIg9VCaWyExr8oXqXHGrnARPN-veFtTofRqXTZxT~s-KuuP~G-IPsNFUUKhaUQJsjAIJ7J9oUitC2lxaBIc3iGo3Yg__&Key-Pair-Id=APKAJM7FVRD2EPOYUXBQ"
"0013-EDGENET";"https://assets.edgenet.com//8d25fa65-ea8f-49ee-8288-5d3e4a7da276";"https://assets.edgenet.com//8d25fa65-ea8f-49ee-8288-5d3e4a7da276"
"0014-EDGENET";"https://assets.edgenet.com/d59d704c-b162-4e96-9b85-48c7232cca30";"https://assets.edgenet.com/d59d704c-b162-4e96-9b85-48c7232cca30"
