"VideoID";"Link"
"0001-YOUTUBE";"https://www.youtube.com/embed/VzrqT-Uvsro"
"0002-YOUTUBE";"https://www.youtube.com/watch?v=KvhkTwwB2Zk"
"0003-YOUTUBE";"https://www.youtube.com/embed/t4JNH9eTjUI"
"0004-YOUTUBE";"https://www.youtube.com/embed/e_3REvlMd84"
"0005-EDGENET";"https://assets.edgenet.com/483daf5d-f998-4ad1-9836-3d93f0131ed7"
"0006-YOUTUBE";"https://www.youtube.com/watch?v=gPPm01HLFXE"
"0007-YOUTUBE";"https://www.youtube.com/watch?v=NqgrZHNB8zw"
"0008-YOUTUBE";"https://www.youtube.com/embed/61n7ZR4ull0"
"0009-YOUTUBE";"https://www.youtube.com/watch?v=OHT17BSHpNc"
"0010-YOUTUBE";"https://www.youtube.com/watch?v=i6M98CfCkZ4"
"0011-YOUTUBE";"https://www.youtube.com/watch?v=In9gPvBz0Hk"
"0012-WIDENNET";"https://milwaukeetool.widen.net/s/rbtks5jjqw/milwaukeer-m12trade-mark-sign-heated-axistrade-mark-sign-layering-system"
"0013-EDGENET";"https://assets.edgenet.com//8d25fa65-ea8f-49ee-8288-5d3e4a7da276"
"0014-EDGENET";"https://assets.edgenet.com/d59d704c-b162-4e96-9b85-48c7232cca30"
"0015-WIDENNET";"https://milwaukeetool.widen.net/s/fdtlnkzvvk/milwaukeer-redlithiumtrad"
"0016-YOUTUBE";"https://www.youtube.com/watch?v=t4JNH9eTjUI"
"0017-EDGENET";"https://assets.edgenet.com/9a6cf600-032c-4dea-a574-dc224f564de0"
"0018-WIDENNET";"https://milwaukeetool.widen.net/s/fwhtdrcxft/milwaukeer_m18trade-mark-"
"0019-EDGENET";"https://assets.edgenet.com//de9e5b6f-f4e2-472f-b8eb-ac85a2e33b08"
"0020-YOUTUBE";"https://www.youtube.com/watch?v=8DFlljLCM4o"
"0021-EDGENET";"https://assets.edgenet.com/fbe686fc-7347-4315-ba1f-ba2f97565909"
"0022-EDGENET";"https://assets.edgenet.com/de9e5b6f-f4e2-472f-b8eb-ac85a2e33b08"
"0023-WIDENNET";"https://milwaukeetool.widen.net/s/w2l7zpqct2/milwaukeer-jobsite-lighti"
"0024-EDGENET";"https://assets.edgenet.com/3241c770-9b21-454b-a707-03dd068d1744"
"0025-YOUTUBE";"https://www.youtube.com/embed/zM7TAM-rLAY?rel=0"
"0026-EDGENET";"https://assets.edgenet.com/0b312cb7-3007-40e5-9acf-80ebf867592a"
"0027-EDGENET";"https://assets.edgenet.com/867c79af-a329-40e9-b67d-cc3a9a687560"
"0028-EDGENET";"https://assets.edgenet.com/bbdc6d25-272a-40b7-8911-d3fc9818e174"
"0029-WIDENNET";"https://milwaukeetool.widen.net/s/77vdbwqwwl/milwaukeer-m12trade-mark-"
"0030-YOUTUBE";"https://www.youtube.com/watch?v=C1c-WvVtE6I"
"0031-YOUTUBE";"https://www.youtube.com/watch?v=3-WfsBsASIA"
"0032-YOUTUBE";"https://www.youtube.com/watch?v=C_iPbaPf44M"
"0033-WIDENNET";"https://milwaukeetool.widen.net/s/2mgfxghf27/milwaukeer-m12trade-mark-sign-heated-axistrade-mark-sign-jackets-and-vest_wo-callouts"
"0034-EDGENET";"https://assets.edgenet.com//2d9b75f9-ea78-4a46-85f0-5610df0a76db"
"0035-YOUTUBE";"https://www.youtube.com/watch?v=uWY3GPGbAmo"
"0036-YOUTUBE";"https://www.youtube.com/watch?v=aKUKvQsUeRc"
"0037-WIDENNET";"https://milwaukeetool.widen.net/s/rhcxp9gbx6/2365_m18-rover-flood-ligh"
"0038-EDGENET";"https://assets.edgenet.com/b81889db-bc00-43c4-a9d8-d159a59bbc2b"
"0039-WIDENNET";"https://milwaukeetool.widen.net/s/b7nxfbpd9s/2402_m12_fuel_screwdriver"
"0040-EDGENET";"https://assets.edgenet.com/cbf6e72f-966a-4231-9e72-a08206a19267"
"0041-WIDENNET";"https://milwaukeetool.widen.net/s/5926sbhffj/2407_m12_nextgen_3_8_dril"
"0042-EDGENET";"https://assets.edgenet.com//308fd718-083f-486e-8ae3-8c9f2bcd99f4"
"0043-EDGENET";"https://assets.edgenet.com//52e5085f-13ba-46b7-af51-ef3432745035"
"0044-WIDENNET";"https://milwaukeetool.widen.net/s/lhtsz7c8pr/2415_m12_rightangle_drill"
"0045-EDGENET";"https://assets.edgenet.com//a536b01d-5e78-4e86-afdf-c0d86456c9a8"
"0046-WIDENNET";"https://milwaukeetool.widen.net/s/qa47yywkus/milwaukeer-m12trade-mark-"
"0047-YOUTUBE";"https://www.youtube.com/embed/8DFlljLCM4o"
"0048-WIDENNET";"https://milwaukeetool.widen.net/s/sxxqgp5jw8/2446_m12_greasegun"
"0049-WIDENNET";"https://milwaukeetool.widen.net/s/vrbhc6srlj/2452_2454_m12_fuel-impact"
"0050-WIDENNET";"https://milwaukeetool.widen.net/s/kw6cfd5lxf/2456_m12_ratchet"
"0051-YOUTUBE";"https://www.youtube.com/embed/C7Klzgnm7AQ"
"0052-WIDENNET";"https://milwaukeetool.widen.net/s/svhmpzzs29/2460_m12_rotary_tool"
"0053-WIDENNET";"https://milwaukeetool.widen.net/s/bc8lvzcpqh/m12fuel_digitaltorquewren"
"0054-EDGENET";"https://assets.edgenet.com/f5ea9be5-6057-4c5e-9130-cebd701d7ec6"
"0055-EDGENET";"https://assets.edgenet.com/4639ed3b-bdc1-4cf0-8060-631f17101e03"
"0056-WIDENNET";"https://milwaukeetool.widen.net/s/2vkh6k6xlh/2470_m12_pvc_shear"
"0057-WIDENNET";"https://milwaukeetool.widen.net/s/swn9wswjz7/2471_m12_copper_tubing_cu"
"0058-WIDENNET";"https://milwaukeetool.widen.net/s/6cqrnplszx/m12_m18_-forcelogic"
"0059-EDGENET";"https://assets.edgenet.com//99d5bb66-c4a1-46ae-b88a-6e550593369b"
"0060-YOUTUBE";"https://www.youtube.com/watch?v=lcTV3wWxwuw"
"0061-YOUTUBE";"https://www.youtube.com/watch?v=ddE8-e10d-g"
"0062-YOUTUBE";"https://www.youtube.com/watch?v=L4SDkxuNr0o"
"0063-YOUTUBE";"https://www.youtube.com/watch?v=RJf-eb8vCuI"
"0064-EDGENET";"https://assets.edgenet.com//0e2f52a1-6003-4af6-a831-3d03a0fcd519"
"0065-EDGENET";"https://assets.edgenet.com//5bc3d6e0-2120-43fe-85d7-0671b5a84e2c"
"0066-WIDENNET";"https://milwaukeetool.widen.net/s/5zggqjx86v/2520_m12_fuel_hackzall"
"0067-EDGENET";"https://assets.edgenet.com//d066cbfb-e56a-4887-9d8f-9d38c87725ed"
"0068-YOUTUBE";"https://www.youtube.com/watch?v=XjaQeJ4wu6s"
"0069-YOUTUBE";"https://www.youtube.com/watch?v=LWGnSsF6MmY"
"0070-WIDENNET";"https://milwaukeetool.widen.net/s/uhtnqt9fe4/milwaukeer-m12-fueltrade-"
"0071-EDGENET";"https://assets.edgenet.com/d066cbfb-e56a-4887-9d8f-9d38c87725ed"
"0072-SMUGMUG";"https://milwaukeetoolca.smugmug.com/Milwaukee-Brand-Videos-/French-Videos/n-Vjrd3Q/i-8NGLsjZ/A"
"0073-YOUTUBE";"https://www.youtube.com/watch?v=ufxyJmrX6z0"
"0074-EDGENET";"https://assets.edgenet.com/b353a1a4-9a06-4ff1-adbe-b7fabd64f3e3"
"0075-EDGENET";"https://assets.edgenet.com//21106bda-7801-4383-8410-be475d660126"
"0076-EDGENET";"https://assets.edgenet.com/94db1034-4131-42cb-b896-a7ccfa2789ec"
"0077-YOUTUBE";"https://www.youtube.com/watch?v=ltDReXejve2"
"0078-EDGENET";"https://assets.edgenet.com/990b150a-85a5-47c0-8878-52a255137308"
"0079-EDGENET";"https://assets.edgenet.com/acfcf507-ddd0-4175-a7ee-f61914ff8266"
"0080-EDGENET";"https://assets.edgenet.com/cc087b91-31c9-4e14-bada-629593bef04f"
"0081-WIDENCDN";"https://p.widencdn.net/iotvzl/Milwaukee-M12-System-Overview_WOCallouts"
"0082-YOUTUBE";"https://www.youtube.com/watch?v=Kk-8Ph35GO0"
"0083-YOUTUBE";"https://www.youtube.com/watch?v=Kk-8Ph35GO1"
"0084-EDGENET";"https://assets.edgenet.com//1bf2f478-bc77-4c95-ac2e-a348409547de"
"0085-EDGENET";"https://assets.edgenet.com/1bf2f478-bc77-4c95-ac2e-a348409547de"
"0086-EDGENET";"https://assets.edgenet.com//903a543c-cfb9-4519-8bea-f19c6157946b"
"0087-YOUTUBE";"https://www.youtube.com/watch?v=JfBSM-rnAzw"
"0088-EDGENET";"https://assets.edgenet.com/903a543c-cfb9-4519-8bea-f19c6157946b"
"0089-EDGENET";"https://assets.edgenet.com//0979b349-7c10-44d1-953f-37965bb9ba2a"
"0090-EDGENET";"https://assets.edgenet.com/0979b349-7c10-44d1-953f-37965bb9ba2a"
"0091-EDGENET";"https://assets.edgenet.com/4f091c28-30b6-4781-a56d-13993da19581"
"0092-EDGENET";"https://assets.edgenet.com/5c746302-cb02-45c3-9e12-5ee12b5bae86"
"0093-WIDENNET";"https://milwaukeetool.widen.net/s/xd7wxkdjls/2606_m18_1_2_drilldriver"
"0094-YOUTUBE";"https://www.youtube.com/embed/_MU11eJPudU"
"0095-WIDENNET";"https://milwaukeetool.widen.net/s/wm88wzgzxo/milwaukeer_m18trade-mark-"
"0096-YOUTUBE";"https://www.youtube.com/watch?v=i-zPhKSUkIs"
