"ProductSKU";"Brand";"LinkFROriginal";"VideoID-FR";"LinkENOriginal";"VideoID-EN"
"MIL0910-20";"MILWAUKEE";"https://www.youtube.com/embed/VzrqT-Uvsro";"0001-YOUTUBE";"https://www.youtube.com/watch?v=KvhkTwwB2Zk";"0002-YOUTUBE"
"MIL0912-20";"MILWAUKEE";"";;"https://www.youtube.com/watch?v=KvhkTwwB2Zk";"0002-YOUTUBE"
"MIL0920-20";"MILWAUKEE";"https://www.youtube.com/embed/t4JNH9eTjUI";"0003-YOUTUBE";"https://www.youtube.com/watch?v=KvhkTwwB2Zk";"0002-YOUTUBE"
"MIL0920-22HD";"MILWAUKEE";"https://www.youtube.com/embed/t4JNH9eTjUI";"0003-YOUTUBE";"https://www.youtube.com/watch?v=KvhkTwwB2Zk";"0002-YOUTUBE"
"MIL0923-20";"MILWAUKEE";"";;"https://www.youtube.com/watch?v=KvhkTwwB2Zk";"0002-YOUTUBE"
"MIL0930-22HD";"MILWAUKEE";"https://www.youtube.com/embed/e_3REvlMd84";"0004-YOUTUBE";"https://www.youtube.com/watch?v=KvhkTwwB2Zk";"0002-YOUTUBE"
"MIL0932-20";"MILWAUKEE";"";;"https://www.youtube.com/watch?v=KvhkTwwB2Zk";"0002-YOUTUBE"
"MIL0933-20";"MILWAUKEE";"";;"https://www.youtube.com/watch?v=KvhkTwwB2Zk";"0002-YOUTUBE"
"MIL0940-20";"MILWAUKEE";"";;"https://assets.edgenet.com/483daf5d-f998-4ad1-9836-3d93f0131ed7";"0005-EDGENET"
"MIL0960-20";"MILWAUKEE";"";;"https://www.youtube.com/watch?v=gPPm01HLFXE";"0006-YOUTUBE"
"MIL0970-20";"MILWAUKEE";"";;"https://www.youtube.com/watch?v=NqgrZHNB8zw";"0007-YOUTUBE"
"MIL0980-20";"MILWAUKEE";"https://www.youtube.com/embed/61n7ZR4ull0";"0008-YOUTUBE";"https://www.youtube.com/watch?v=OHT17BSHpNc";"0009-YOUTUBE"
"MIL2010R";"MILWAUKEE";"";;"https://www.youtube.com/watch?v=i6M98CfCkZ4";"0010-YOUTUBE"
"MIL2011R";"MILWAUKEE";"";;"https://www.youtube.com/watch?v=In9gPvBz0Hk";"0011-YOUTUBE"
"MIL205B-212X";"MILWAUKEE";"";;"https://milwaukeetool.widen.net/s/rbtks5jjqw/milwaukeer-m12trade-mark-sign-heated-axistrade-mark-sign-layering-system";"0012-WIDENNET"
"MIL205B-213X";"MILWAUKEE";"";;"https://milwaukeetool.widen.net/s/rbtks5jjqw/milwaukeer-m12trade-mark-sign-heated-axistrade-mark-sign-layering-system";"0012-WIDENNET"
"MIL205B-21M";"MILWAUKEE";"";;"https://milwaukeetool.widen.net/s/rbtks5jjqw/milwaukeer-m12trade-mark-sign-heated-axistrade-mark-sign-layering-system";"0012-WIDENNET"
"MIL2112-21";"MILWAUKEE";"https://assets.edgenet.com//8d25fa65-ea8f-49ee-8288-5d3e4a7da276";"0013-EDGENET";"";
"MIL2113-21";"MILWAUKEE";"";;"https://assets.edgenet.com/d59d704c-b162-4e96-9b85-48c7232cca30";"0014-EDGENET"
"MIL2114-21";"MILWAUKEE";"https://milwaukeetool.widen.net/s/fdtlnkzvvk/milwaukeer-redlithiumtrad";"0015-WIDENNET";"";
