"VideoID";"APIStatus";"Privacy";"FinalStatus"
"VzrqT-Uvsro";"processed";"public";"public"
"KvhkTwwB2Zk";"processed";"public";"public"
"t4JNH9eTjUI";"processed";"public";"public"
"e_3REvlMd84";"processed";"public";"public"
"NqgrZHNB8zw";"processed";"public";"public"
"61n7ZR4ull0";"processed";"public";"public"
"OHT17BSHpNc";"processed";"public";"public"
"i6M98CfCkZ4";"processed";"public";"public"
"In9gPvBz0Hk";"processed";"public";"public"
"8DFlljLCM4o";"processed";"public";"public"
"zM7TAM-rLAY";"processed";"public";"public"
"C1c-WvVtE6I";"processed";"public";"public"
"3-WfsBsASIA";"processed";"public";"public"
"C_iPbaPf44M";"processed";"public";"public"
"uWY3GPGbAmo";"processed";"public";"public"
"aKUKvQsUeRc";"processed";"public";"public"
"C7Klzgnm7AQ";"processed";"public";"public"
"lcTV3wWxwuw";"processed";"public";"public"
"ddE8-e10d-g";"processed";"public";"public"
"L4SDkxuNr0o";"processed";"public";"public"
"RJf-eb8vCuI";"processed";"public";"public"
"XjaQeJ4wu6s";"processed";"public";"public"
"LWGnSsF6MmY";"processed";"public";"public"
"ufxyJmrX6z0";"processed";"public";"public"
"Kk-8Ph35GO0";"processed";"public";"public"
"JfBSM-rnAzw";"processed";"public";"public"
"_MU11eJPudU";"processed";"unlisted";"unlisted"
"i-zPhKSUkIs";"processed";"public";"public"
"qEtgLwYwXpk";"processed";"public";"public"
"2zMCpiP8isQ";"processed";"public";"public"
"NCAiuv50VoE";"processed";"public";"public"
"tIBt4MYBl1s";"processed";"public";"public"
"BmTg77DiETM";"processed";"public";"public"
"wz3V80uKl_E";"processed";"public";"public"
"XSNBBd4fUf4";"processed";"public";"public"
"AxkpocklIbk";"processed";"public";"public"
"YbMZuVBv-1k";"processed";"public";"public"
"PTy8_T3EvVQ";"processed";"public";"public"
"ufjAUrzdUCI";"processed";"public";"public"
"bg0XZBQ5UWI";"processed";"public";"public"
"jxKZSZaJ3MA";"processed";"public";"public"
"45s1Zou7QrI";"processed";"public";"public"
"GPmgR23E4d8";"processed";"public";"public"
"gjCiJsV7AfA";"processed";"public";"public"
"lPEpd9XdBV4";"processed";"public";"public"
"Z2Rk3Nsj8fE";"processed";"public";"public"
"8Ntq3hvxFnI";"processed";"public";"public"
"Sru3GgFLof0";"processed";"public";"public"
"https://www.youtube.com/watch?v=ltDReXejve2";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=Kk-8Ph35GO1";"not_found";"";"deleted_or_unavailable"
"QVxxUKry8kk";"processed";"public";"public"
"PXugDgrAL_0";"processed";"public";"public"
"aW_kYAVz_Zk";"processed";"public";"public"
"YHQB4JRGX20";"processed";"public";"public"
"XKKCNP42zVQ";"processed";"public";"public"
"h-V1clLAI-E";"processed";"public";"public"
"N0qg9Ji5i0Y";"processed";"public";"public"
"2igSaYH_XsY";"processed";"public";"public"
"3N2Plypn_Bg";"processed";"public";"public"
"-p_dDh0IA_0";"processed";"public";"public"
"Xfa1b17Q5dw";"processed";"public";"public"
"oKOx1vTPsyI";"processed";"public";"public"
"2iXw_x2Q_ZU";"processed";"public";"public"
"kkCzn0xIpmQ";"processed";"public";"public"
"XEbh05vM5C8";"processed";"public";"public"
"fDXZjxJP2-A";"processed";"public";"public"
"kvFzrMNxHeQ";"processed";"public";"public"
"4KmsWV01skY";"processed";"public";"public"
"4hxiBlOGL6Q";"processed";"public";"public"
"RPBsNGqJYnU";"processed";"public";"public"
"ZRjt-fraF7I";"processed";"public";"public"
"eDhByGWlE_A";"processed";"public";"public"
"JsOVq1pL8Aw";"processed";"public";"public"
"J3U4Ch7xe7w";"processed";"public";"public"
"j3b4uDYRtrE";"processed";"public";"public"
"tKjwnep-t0E";"processed";"public";"public"
"rZQza36rFHw";"processed";"public";"public"
"XB_4atBVqO8";"processed";"public";"public"
"zAvhGUrmwc4";"processed";"public";"public"
"Mx9gA3vhAHI";"processed";"public";"public"
"_5Yaa0fXVMI";"processed";"public";"public"
"jO48v_h__yA";"processed";"public";"public"
